Anderson, T,CWS,SS,81,167,18,0.335,0.357,0.865
Yelich, C,MIL,RF,100,161,44,0.329,0.429,1.1
Marte, K,ARI,CF,97,187,32,0.329,0.389,0.981
LeMahieu, D,NYY,2B,109,197,26,0.327,0.375,0.893
Rendon, A,WSH,3B,117,174,34,0.319,0.412,1.01
McNeil, J,NYM,LF,83,162,23,0.318,0.384,0.916
Moncada, Y,CWS,3B,83,161,25,0.315,0.367,0.915
Arenado, N,COL,3B,102,185,41,0.315,0.379,0.962
Blackmon, C,COL,RF,112,182,32,0.314,0.364,0.94
Reynolds, B,PIT,LF,83,154,16,0.314,0.377,0.88
Brantley, M,HOU,LF,88,179,22,0.311,0.372,0.875
Devers, R,BOS,3B,129,201,32,0.311,0.361,0.916
Cruz, N,MIN,DH,81,141,41,0.311,0.392,1.031
Bogaerts, X,BOS,SS,110,190,33,0.309,0.384,0.939
Newman, K,PIT,SS,61,152,12,0.308,0.353,0.8
Alberto, H,BAL,2B,62,160,12,0.305,0.329,0.751
Bellinger, C,LAD,RF,121,170,47,0.305,0.406,1.035
Martinez, J,BOS,LF,98,175,36,0.304,0.383,0.939
Merrifield, W,KC,2B,105,206,16,0.302,0.348,0.811
Altuve, J,HOU,2B,89,149,31,0.298,0.353,0.903
Gurriel, Y,HOU,1B,85,168,31,0.298,0.343,0.884
Turner, T,WSH,SS,96,155,19,0.298,0.353,0.85
Bregman, A,HOU,3B,122,164,41,0.296,0.423,1.015
Albies, O,ATL,2B,102,189,24,0.295,0.352,0.852
Marte, S,PIT,CF,97,159,23,0.295,0.342,0.845
Betts, M,BOS,RF,135,176,29,0.295,0.391,0.915
Freeman, F,ATL,1B,113,176,38,0.295,0.389,0.938
Polanco, J,MIN,SS,107,186,22,0.295,0.356,0.841
Story, T,COL,SS,111,173,35,0.294,0.363,0.917
Rizzo, A,CHC,1B,89,150,27,0.293,0.405,0.924
Springer, G,HOU,RF,96,140,39,0.292,0.383,0.974
Trout, M,LAA,CF,110,137,45,0.291,0.438,1.083
Mancini, T,BAL,RF,106,175,35,0.291,0.364,0.899
Meadows, A,TB,RF,83,154,33,0.291,0.364,0.922
Fletcher, D,LAA,3B,83,173,6,0.29,0.35,0.734
Turner, J,LAD,3B,80,139,27,0.29,0.372,0.881
Castellanos, N,CHC,RF,100,178,27,0.289,0.337,0.863
Iglesias, J,CIN,SS,62,145,11,0.288,0.318,0.724
Ramos, W,NYM,C,52,136,14,0.288,0.351,0.768
Rosario, A,NYM,SS,75,177,15,0.287,0.323,0.755
Braun, R,MIL,LF,70,131,22,0.285,0.343,0.849
Semien, M,OAK,SS,123,187,33,0.285,0.369,0.892
Wong, K,STL,2B,61,136,11,0.285,0.361,0.784
Lindor, F,CLE,SS,101,170,32,0.284,0.335,0.854
Abreu, J,CWS,1B,85,180,33,0.284,0.33,0.834
Rojas, M,MIA,SS,52,137,5,0.284,0.331,0.71
Santana, D,TEX,2B,81,134,28,0.283,0.324,0.857
Soto, J,WSH,LF,110,153,34,0.282,0.401,0.949
Garcia, A,TB,RF,61,138,20,0.282,0.332,0.796
Cabrera, M,DET,1B,41,139,12,0.282,0.346,0.744
Bryant, K,CHC,3B,108,153,31,0.282,0.382,0.903
Santana, C,CLE,1B,110,161,34,0.281,0.397,0.911
Baez, J,CHC,SS,89,149,29,0.281,0.316,0.847
Acuna Jr., R,ATL,LF,127,175,41,0.28,0.365,0.883
Segura, J,PHI,SS,79,161,12,0.28,0.323,0.743
Hernandez, C,PHI,2B,77,171,14,0.279,0.333,0.741
Dozier, H,KC,3B,75,146,26,0.279,0.348,0.87
Eaton, A,WSH,RF,103,158,15,0.279,0.365,0.792
Garcia, L,CWS,CF,93,161,8,0.279,0.31,0.688
Torres, G,NYY,SS,96,152,38,0.278,0.337,0.871
Frazier, A,PIT,2B,80,154,10,0.278,0.336,0.753
Bell, J,PIT,1B,94,146,37,0.277,0.367,0.936
Moran, C,PIT,3B,46,129,13,0.277,0.322,0.751
Vazquez, C,BOS,C,66,133,23,0.276,0.32,0.798
Rosario, E,MIN,LF,91,155,32,0.276,0.3,0.8
Reddick, J,HOU,RF,57,138,14,0.275,0.319,0.728
Realmuto, J,PHI,C,92,148,25,0.275,0.328,0.82
Andrus, E,TEX,SS,81,165,12,0.275,0.313,0.707
Villar, J,BAL,2B,111,176,24,0.274,0.339,0.792
Pham, T,TB,LF,77,155,21,0.273,0.369,0.818
Seager, C,LAD,SS,82,133,19,0.272,0.335,0.817
Guerrero Jr., V,TOR,3B,52,126,15,0.272,0.339,0.772
Suarez, E,CIN,3B,87,156,49,0.271,0.358,0.93
Castro, S,MIA,2B,68,172,22,0.27,0.3,0.736
Escobar, E,ARI,3B,94,171,35,0.269,0.32,0.831
Jimenez, E,CWS,LF,69,125,31,0.267,0.315,0.828
Olson, M,OAK,1B,73,129,36,0.267,0.351,0.896
Puig, Y,CLE,RF,76,148,24,0.267,0.327,0.785
Gordon, A,KC,LF,77,148,13,0.266,0.345,0.741
Benintendi, A,BOS,LF,72,144,13,0.266,0.343,0.774
Hosmer, E,SD,1B,72,164,22,0.265,0.31,0.735
Soler, J,KC,RF,95,156,48,0.265,0.354,0.922
Choo, S,TEX,LF,93,149,24,0.265,0.371,0.826
Voit, L,NYY,1B,72,113,21,0.263,0.378,0.842
Anderson, B,MIA,3B,57,120,20,0.261,0.342,0.811
Votto, J,CIN,1B,79,137,15,0.261,0.357,0.768
Galvis, F,CIN,SS,67,145,23,0.26,0.296,0.734
Harper, B,PHI,RF,98,149,35,0.26,0.372,0.882
Jones, A,ARI,RF,66,126,16,0.26,0.313,0.728
Cain, L,MIL,CF,75,146,11,0.26,0.325,0.697
Alonso, P,NYM,1B,103,155,53,0.26,0.358,0.941
Goldschmidt, P,STL,1B,97,155,34,0.26,0.346,0.821
Cabrera, A,WSH,3B,69,116,18,0.26,0.342,0.783
Walker, C,ARI,1B,86,137,29,0.259,0.348,0.825
Donaldson, J,ATL,3B,96,142,37,0.259,0.379,0.9
Pillar, K,SF,CF,83,158,21,0.259,0.287,0.719
Conforto, M,NYM,RF,90,141,33,0.257,0.363,0.856
Machado, M,SD,SS,81,150,32,0.256,0.334,0.796
Ramirez, J,CLE,3B,68,123,23,0.255,0.327,0.806
Robles, V,WSH,CF,86,139,17,0.255,0.326,0.745
Moustakas, M,MIL,2B,80,133,35,0.254,0.329,0.845
Adames, W,TB,SS,69,135,20,0.254,0.317,0.735
Longoria, E,SF,3B,59,115,20,0.254,0.325,0.762
Ahmed, N,ARI,SS,79,141,19,0.254,0.316,0.753
Santana, D,SEA,LF,63,114,21,0.253,0.329,0.77
Sanchez, Y,CWS,2B,59,125,2,0.252,0.318,0.638
Kepler, M,MIN,RF,98,132,36,0.252,0.336,0.855
Heyward, J,CHC,RF,78,129,21,0.251,0.343,0.772
Swanson, D,ATL,SS,77,121,17,0.251,0.325,0.748
Muncy, M,LAD,1B,101,122,35,0.251,0.374,0.889
Gardner, B,NYY,CF,86,123,28,0.251,0.325,0.829
McMahon, R,COL,2B,70,120,24,0.25,0.329,0.779
Schwarber, K,CHC,LF,82,132,38,0.25,0.339,0.871
Reyes, F,CLE,RF,69,123,37,0.249,0.31,0.822
Pederson, J,LAD,LF,83,112,36,0.249,0.339,0.876
Chapman, M,OAK,3B,102,145,36,0.249,0.342,0.848
Grandal, Y,MIL,C,79,126,28,0.246,0.38,0.848
Kipnis, J,CLE,2B,52,112,17,0.245,0.304,0.715
Pujols, A,LAA,1B,55,120,23,0.244,0.305,0.734
Nunez, R,BAL,3B,72,132,31,0.244,0.311,0.771
Ozuna, M,STL,LF,80,117,29,0.241,0.328,0.8
Fowler, D,STL,RF,69,116,19,0.238,0.346,0.754
Belt, B,SF,1B,76,123,17,0.234,0.339,0.742
DeJong, P,STL,SS,97,136,30,0.233,0.318,0.762
Grichuk, R,TOR,CF,75,136,31,0.232,0.28,0.738
Calhoun, K,LAA,RF,92,128,33,0.232,0.325,0.792
Crawford, B,SF,SS,58,114,11,0.228,0.304,0.654
Smith, M,SEA,CF,70,116,6,0.227,0.3,0.635
Hoskins, R,PHI,1B,86,129,29,0.226,0.364,0.819
Bradley Jr., J,BOS,CF,69,111,21,0.225,0.317,0.738
Arcia, O,MIL,SS,51,110,15,0.223,0.283,0.633
Davis, K,OAK,LF,61,106,23,0.22,0.293,0.679
Profar, J,OAK,2B,65,100,20,0.218,0.301,0.711
Vogelbach, D,SEA,1B,73,96,30,0.208,0.341,0.78
Odor, R,TEX,2B,77,107,30,0.205,0.283,0.721
