Anderson, T,SS,81,167,18
Yelich, C,RF,100,161,44
Marte, K,CF,97,187,32
LeMahieu, D,2B,109,197,26
Rendon, A,3B,117,174,34
McNeil, J,LF,83,162,23
Moncada, Y,3B,83,161,25
Arenado, N,3B,102,185,41
Blackmon, C,RF,112,182,32
Reynolds, B,LF,83,154,16
Brantley, M,LF,88,179,22
Devers, R,3B,129,201,32
Cruz, N,DH,81,141,41
Bogaerts, X,SS,110,190,33
Newman, K,SS,61,152,12
Alberto, H,2B,62,160,12
Bellinger, C,RF,121,170,47
Martinez, J,LF,98,175,36
Merrifield, W,2B,105,206,16
Altuve, J,2B,89,149,31
Gurriel, Y,1B,85,168,31
Turner, T,SS,96,155,19
Bregman, A,3B,122,164,41
Albies, O,2B,102,189,24
Marte, S,CF,97,159,23
Betts, M,RF,135,176,29
Freeman, F,1B,113,176,38
Polanco, J,SS,107,186,22
Story, T,SS,111,173,35
Rizzo, A,1B,89,150,27
Springer, G,RF,96,140,39
Trout, M,CF,110,137,45
Mancini, T,RF,106,175,35
Meadows, A,RF,83,154,33
Fletcher, D,3B,83,173,6
Turner, J,3B,80,139,27
Castellanos, N,RF,100,178,27
Iglesias, J,SS,62,145,11
Ramos, W,C,52,136,14
Rosario, A,SS,75,177,15
Braun, R,LF,70,131,22
Semien, M,SS,123,187,33
Wong, K,2B,61,136,11
Lindor, F,SS,101,170,32
Abreu, J,1B,85,180,33
Rojas, M,SS,52,137,5
Santana, D,2B,81,134,28
Soto, J,LF,110,153,34
Garcia, A,RF,61,138,20
Cabrera, M,1B,41,139,12
Bryant, K,3B,108,153,31
Santana, C,1B,110,161,34
Baez, J,SS,89,149,29
Acuna Jr., R,LF,127,175,41
Segura, J,SS,79,161,12
Hernandez, C,2B,77,171,14
Dozier, H,3B,75,146,26
Eaton, A,RF,103,158,15
Garcia, L,CF,93,161,8
Torres, G,SS,96,152,38
Frazier, A,2B,80,154,10
Bell, J,1B,94,146,37
Moran, C,3B,46,129,13
Vazquez, C,C,66,133,23
Rosario, E,LF,91,155,32
Reddick, J,RF,57,138,14
Realmuto, J,C,92,148,25
Andrus, E,SS,81,165,12
Villar, J,2B,111,176,24
Pham, T,LF,77,155,21
Seager, C,SS,82,133,19
Guerrero Jr., V,3B,52,126,15
Suarez, E,3B,87,156,49
Castro, S,2B,68,172,22
Escobar, E,3B,94,171,35
Jimenez, E,LF,69,125,31
Olson, M,1B,73,129,36
Puig, Y,RF,76,148,24
Gordon, A,LF,77,148,13
Benintendi, A,LF,72,144,13
Hosmer, E,1B,72,164,22
Soler, J,RF,95,156,48
Choo, S,LF,93,149,24
Voit, L,1B,72,113,21
Anderson, B,3B,57,120,20
Votto, J,1B,79,137,15
Galvis, F,SS,67,145,23
Harper, B,RF,98,149,35
Jones, A,RF,66,126,16
Cain, L,CF,75,146,11
Alonso, P,1B,103,155,53
Goldschmidt, P,1B,97,155,34
Cabrera, A,3B,69,116,18
Walker, C,1B,86,137,29
Donaldson, J,3B,96,142,37
Pillar, K,CF,83,158,21
Conforto, M,RF,90,141,33
Machado, M,SS,81,150,32
Ramirez, J,3B,68,123,23
Robles, V,CF,86,139,17
Moustakas, M,2B,80,133,35
Adames, W,SS,69,135,20
Longoria, E,3B,59,115,20
Ahmed, N,SS,79,141,19
Santana, D,LF,63,114,21
Sanchez, Y,2B,59,125,2
Kepler, M,RF,98,132,36
Heyward, J,RF,78,129,21
Swanson, D,SS,77,121,17
Muncy, M,1B,101,122,35
Gardner, B,CF,86,123,28
McMahon, R,2B,70,120,24
Schwarber, K,LF,82,132,38
Reyes, F,RF,69,123,37
Pederson, J,LF,83,112,36
Chapman, M,3B,102,145,36
Grandal, Y,C,79,126,28
Kipnis, J,2B,52,112,17
Pujols, A,1B,55,120,23
Nunez, R,3B,72,132,31
Ozuna, M,LF,80,117,29
Fowler, D,RF,69,116,19
Belt, B,1B,76,123,17
DeJong, P,SS,97,136,30
Grichuk, R,CF,75,136,31
Calhoun, K,RF,92,128,33
Crawford, B,SS,58,114,11
Smith, M,CF,70,116,6
Hoskins, R,1B,86,129,29
Bradley Jr., J,CF,69,111,21
Arcia, O,SS,51,110,15
Davis, K,LF,61,106,23
Profar, J,2B,65,100,20
Vogelbach, D,1B,73,96,30
Odor, R,2B,77,107,30
